DTXSID;PREFERRED NAME;CASRN;MOLECULAR FORMULA;MONOISOTOPIC MASS;ToxCast Active;ToxCast Total;% ToxCast Active;HIT CALL;ATS
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36
DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36
