DTXSID;PREFERRED NAME;CASRN;MOLECULAR FORMULA;MONOISOTOPIC MASS;ToxCast Active;ToxCast Total;% ToxCast Active;HIT CALL;TOP;SCALED TOP;AC50;LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.018224456;0.2301612714655074;11.191700572120894;1.0488960823258744
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00192353;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Active;-0.105314462;-1.330043005;22.58031283579609;1.3537299545029806
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00194615;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Active;-0.104621563;-1.321292202;17.380155784031032;1.2400536648538347
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020284;2-Chloro-1,4-diaminobenzene sulfate (1:1);61702-44-1;C6H9ClN2O4S;239.997156;214;636;34;Inactive;-0.032367937;-0.408782869;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020365;Cyclosporin A;59865-13-3;C62H111N11O12;1201.841368;184;702;26;Active;-0.276779121;-3.495513578;4.694647579381329;0.6716029959472541
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00223797;Dichloromethyl((perfluorohexyl)ethyl)silane;73609-36-6;C9H7Cl2F13Si;459.948648;15;460;3;Active;-0.188740542;-2.383652081;2.7883037767499967;0.4453400869939044
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022436;4,4-Bis(4-hydroxyphenyl)valeric acid;126-00-1;C17H18O4;286.120509;49;735;7;Inactive;-0.021632486;-0.273202146;4.771406048897821;0.678646377
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023745;D-Xylose;58-86-6;C5H10O5;150.052823;4;667;1;Inactive;0.01278902;0.1615157698434664;0.2000000102512104;-0.698969982
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00379268;3:3 Fluorotelomer carboxylic acid;356-02-5;C6H5F7O2;242.017777;2;470;0;Inactive;-0.01956301;-0.247066206;7.292283902177635;0.862863568
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00379884;3-(Perfluoro-3-methylbutyl)-1,2-propenoxide;54009-81-3;C8H5F11O;326.016475;6;469;1;Inactive;-0.035491005;-0.448224882;0.1235245164807734;-0.908246837
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00379925;Perfluorononanoyl chloride;52447-23-1;C9ClF17O;481.936621;118;468;25;Active;-0.117167029;-1.479732072;16.64729873688436;1.221343773047153
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00380798;1H,1H,11H,11H-Perfluorotetraethylene glycol;330562-44-2;C8H6F12O5;410.002361;79;498;16;Active;-0.205564272;-2.596123226;34.805688335674944;1.5416502270187813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0041270;3,5,5-Trimethylhexyl acetate;58430-94-7;C11H22O2;186.16198;14;675;2;Inactive;-0.018637097;-0.23537261;4.058177614264421;0.6083310508803965
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00442840;2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate;329710-76-1;C4H4F6O4S;261.973449;5;496;1;Inactive;0.027848822;0.3517098210964131;30;1.4771212547196624
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044494;2-Phenylethyl phenylacetate;102-20-5;C16H16O2;240.11503;11;639;2;Inactive;0.022215838;0.2805694360589048;0.1786028219230482;-0.748111684
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044608;Propylsilanetriyl triacetate;17865-07-5;C9H16O6Si;248.071615;4;234;2;Inactive;-0.012384833;-0.156411187;0.200000008;-0.698969988
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044818;2-Butyloctan-1-ol;8/2/3913;C12H26O;186.198365;55;661;8;Active;-1.058076035;-13.36271008;32.136734121337255;1.507001739722004
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044997;2,6-Di-tert-butyl-4-[(dimethylamino)methyl]phenol;88-27-7;C17H29NO;263.224915;71;636;11;Inactive;0.027510673;0.3474392548601944;20.000000000000007;1.3010299956639813
