DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00190950,6:1 Fluorotelomer alcohol,375-82-6,C7H3F13O,349.997631,52,461,11.0,Active,-0.20656598278077393,-1.8615859866104738,42.2092786678507,1.6254079303764206
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00192353,8:2 Fluorotelomer sulfonic acid,39108-34-4,C10H5F17O3S,527.968794,40,506,8.0,Inactive,-0.03569185280269381,-0.32165728412395095,5.952753956914393,0.7747179323816438
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00194615,"1H,1H,9H-Perfluorononyl acrylate",4180-26-1,C12H6F16O2,486.011230,72,464,16.0,Inactive,-0.1351772405137785,-1.2182260276426566,30.000000000000004,1.4771212547196626
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020284,"2-Chloro-1,4-diaminobenzene sulfate (1:1)",61702-44-1,C6H9ClN2O4S,239.997156,214,636,34.0,Active,-0.14394915163734345,-1.2972790575926632,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020365,Cyclosporin A,59865-13-3,C62H111N11O12,1201.841368,184,702,26.0,Active,-0.46259198702141546,-4.168908883082142,1.7641724881430247,0.24654104507384902
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00223797,Dichloromethyl((perfluorohexyl)ethyl)silane,73609-36-6,C9H7Cl2F13Si,459.948648,15,460,3.0,Active,-0.18912047227730278,-1.7043659184979305,0.18979623577218238,-0.7217124051836525
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022436,"4,4-Bis(4-hydroxyphenyl)valeric acid",126-00-1,C17H18O4,286.120509,49,735,7.0,Inactive,-0.02398023906877278,-0.21611146426453803,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023745,D-Xylose,58-86-6,C5H10O5,150.052823,4,667,1.0,Inactive,-0.04063946772395726,-0.3662455095450931,2.591958868755973,0.4136281055264698
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00379268,3:3 Fluorotelomer carboxylic acid,356-02-5,C6H5F7O2,242.017777,2,470,0.0,Inactive,-0.051451576631026036,-0.4636849337723957,0.1975575296924346,-0.7043064130007292
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00379884,"3-(Perfluoro-3-methylbutyl)-1,2-propenoxide",54009-81-3,C8H5F11O,326.016475,6,469,1.0,Active,-0.14248969540425135,-1.2841263436994035,0.25008309813013163,-0.6019156590766235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00379925,Perfluorononanoyl chloride,52447-23-1,C9ClF17O,481.936621,118,468,25.0,Inactive,-0.08272121967292563,-0.7454889777368406,1.6192847064942986,0.20932321415725963
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00380798,"1H,1H,11H,11H-Perfluorotetraethylene glycol",330562-44-2,C8H6F12O5,410.002361,79,498,16.0,Active,-0.1701261875234639,-1.533188196748062,8.270976356370237,0.9175567793416235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0041270,"3,5,5-Trimethylhexyl acetate",58430-94-7,C11H22O2,186.161980,14,675,2.0,Inactive,-0.038698831213220396,-0.3487563678923435,8.622398614023579,0.9356280964428529
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00442840,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,329710-76-1,C4H4F6O4S,261.973449,5,496,1.0,Inactive,-0.0518920625571622,-0.46765462140612624,9.456737713520507,0.9757413438686474
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044494,2-Phenylethyl phenylacetate,102-20-5,C16H16O2,240.115030,11,639,2.0,Inactive,0.03165689788447699,0.28529400963296553,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044608,Propylsilanetriyl triacetate,17865-07-5,C9H16O6Si,248.071615,4,234,2.0,Inactive,-0.04113490107577121,-0.3707103869301325,1.0141909228737074,0.0061197192433060646
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044818,2-Butyloctan-1-ol,3913-02-8,C12H26O,186.198365,55,661,8.0,Active,-0.3462196824007192,-3.12015415301912,34.346007156966536,1.5358762560829504
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044997,"2,6-Di-tert-butyl-4-[(dimethylamino)methyl]phenol",88-27-7,C17H29NO,263.224915,71,636,11.0,Inactive,0.07029862012636662,0.6335357077848808,2.8021963889435866,0.44749856908169194
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0047113,(-)-Ambroxide,6790-58-5,C16H28O,236.214016,97,634,15.0,Active,-0.8331457926527381,-7.5083637273027755,35.480509850346486,1.549989851960172
