DTXSID;PREFERRED NAME;CASRN;MOLECULAR FORMULA;MONOISOTOPIC MASS;ToxCast Active;ToxCast Total;% ToxCast Active;HIT CALL;TOP;SCALED TOP;AC50;LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11.0;Inactive;0.0182244562665445;0.2301612714655074;11.191700572120894;1.0488960823258744
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00192353;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8.0;Active;-0.105314462468974;-1.330043005456507;22.58031283579609;1.3537299545029806
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00194615;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.011230;72;464;16.0;Active;-0.1046215629533591;-1.3212922020756384;17.380155784031032;1.2400536648538347
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020284;2-Chloro-1,4-diaminobenzene sulfate (1:1);61702-44-1;C6H9ClN2O4S;239.997156;214;636;34.0;Inactive;-0.0323679369006902;-0.4087828686255082;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020365;Cyclosporin A;59865-13-3;C62H111N11O12;1201.841368;184;702;26.0;Active;-0.2767791206762194;-3.495513577921548;4.694647579381329;0.6716029959472541
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00223797;Dichloromethyl((perfluorohexyl)ethyl)silane;73609-36-6;C9H7Cl2F13Si;459.948648;15;460;3.0;Active;-0.1887405419223685;-2.3836520810602995;2.7883037767499967;0.4453400869939044
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022436;4,4-Bis(4-hydroxyphenyl)valeric acid;126-00-1;C17H18O4;286.120509;49;735;7.0;Inactive;-0.0216324863376846;-0.2732021459307853;4.771406048897821;0.678646376796189
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023745;D-Xylose;58-86-6;C5H10O5;150.052823;4;667;1.0;Inactive;0.012789019912547;0.1615157698434664;0.2000000102512104;-0.6989699820757987
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00379268;3:3 Fluorotelomer carboxylic acid;356-02-5;C6H5F7O2;242.017777;2;470;0.0;Inactive;-0.0195630100670106;-0.2470662062484356;7.292283902177635;0.862863568204143
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00379884;3-(Perfluoro-3-methylbutyl)-1,2-propenoxide;54009-81-3;C8H5F11O;326.016475;6;469;1.0;Inactive;-0.0354910046582864;-0.4482248818986732;0.1235245164807734;-0.908246837419464
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00379925;Perfluorononanoyl chloride;52447-23-1;C9ClF17O;481.936621;118;468;25.0;Active;-0.1171670292424866;-1.479732071556625;16.64729873688436;1.221343773047153
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00380798;1H,1H,11H,11H-Perfluorotetraethylene glycol;330562-44-2;C8H6F12O5;410.002361;79;498;16.0;Active;-0.2055642719150868;-2.5961232258386904;34.805688335674944;1.5416502270187813
