DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00190950,6:1 Fluorotelomer alcohol,375-82-6,C7H3F13O,349.997631,52,461,11.0,Inactive,0.023598066596049995,0.29802595657381503,30,1.4771212547196624
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020022,Acifluorfen,50594-66-6,C14H7ClF3NO5,360.996485,74,1009,7.0,Inactive,-0.03497057986748031,-0.4416523054770659,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020105,Sodium L-ascorbate,134-03-2,C6H7NaO6,198.014032,21,921,2.0,Inactive,0.006051354156109578,0.0764240834561999,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00192353,8:2 Fluorotelomer sulfonic acid,39108-34-4,C10H5F17O3S,527.968794,40,506,8.0,Inactive,-0.05362519181848194,-0.6772461219696924,3.583642580355961,0.5543246881776758
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00194615,"1H,1H,9H-Perfluorononyl acrylate",4180-26-1,C12H6F16O2,486.011230,72,464,16.0,Inactive,-0.04237205281004498,-0.5351273808517694,9.88231932094137,0.994858882854576
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020232,Caffeine,58-08-2,C8H10N4O2,194.080376,65,972,7.0,Inactive,-0.017091706868278184,-0.2158554925745688,0.10000082711534261,-0.9999964078985635
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020284,"2-Chloro-1,4-diaminobenzene sulfate (1:1)",61702-44-1,C6H9ClN2O4S,239.997156,214,636,34.0,Inactive,-0.035852745610527675,-0.4527933999543714,2.1188725190114357,0.3261048283694396
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020311,Monuron,150-68-5,C9H11ClN2O,198.055991,26,894,3.0,Inactive,0.021842100393101072,0.2758494148976109,0.10000001262024834,-0.9999999451909614
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020319,Chlorothalonil,1897-45-6,C8Cl4N2,263.881559,384,1103,35.0,Active,-0.5440300089013802,-6.8706926962751345,0.5377308988105222,-0.2694350076044193
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020365,Cyclosporin A,59865-13-3,C62H111N11O12,1201.841368,184,702,26.0,Active,0.12714785858997701,1.6057824918984214,2.017138270169838,0.30473566911687155
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020440,Dichlorprop,120-36-5,C9H8Cl2O3,233.985050,25,959,3.0,Inactive,-0.014392370631516896,-0.1817648919399472,0.38527991102300185,-0.4142236350547578
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",94-75-7,C8H6Cl2O3,219.969400,39,975,4.0,Inactive,0.008068053379959942,0.10189348845441613,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020498,Dimethyl terephthalate,120-61-6,C10H10O4,194.057909,33,844,4.0,Inactive,0.01675570334672207,0.21161201904607674,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020446,Diuron,330-54-1,C9H10Cl2N2O,232.017018,119,1048,11.0,Inactive,0.018088912129222725,0.22844945024410024,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020523,"2,4-Dinitrophenol",51-28-5,C6H4N2O5,184.012021,166,844,20.0,Inactive,-0.0056198323327208526,-0.07097428511469389,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020529,"2,4-Dinitrotoluene",121-14-2,C7H6N2O4,182.032757,32,902,4.0,Inactive,0.00893870279387632,0.11288914029592305,0.4638030970583491,-0.3336663556746154
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020604,4-Vinyl-1-cyclohexene diepoxide,106-87-6,C8H12O2,140.083730,24,863,3.0,Inactive,0.00006683401701167433,8.440637189704737E-4,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020573,17beta-Estradiol,50-28-2,C18H24O2,272.177630,217,984,22.0,Inactive,0.009508731446431837,0.12008817644411228,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,103-23-1,C22H42O4,370.308310,11,861,1.0,Inactive,0.010186689183730571,0.1286502763243158,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020654,Geranyl acetate,105-87-3,C12H20O2,196.146330,10,867,1.0,Inactive,0.01879364799104844,0.2373497378374761,0.10000000014501845,-0.9999999993701929
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020814,Mestranol,72-33-3,C21H26O2,310.193280,159,758,21.0,Inactive,0.014652677318711914,0.18505237098566027,0.020000000312304776,-1.6989699975544068
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020941,Sodium nitrite,7632-00-0,NNaO2,68.982673,5,857,1.0,Inactive,0.032229527240431204,0.4070348579895578,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020943,5-Nitro-o-anisidine,99-59-2,C7H8N2O3,168.053492,29,901,3.0,Inactive,0.02290649124609312,0.2892918764162368,4.304536727271663,0.6339264176674957
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021094,"4,4'-Oxydianiline",101-80-4,C12H12N2O,200.094963,70,918,8.0,Inactive,0.01825134701758666,0.23050088156744966,5.520854638892866,0.742006312552602
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021125,Phenolphthalein,77-09-8,C20H14O4,318.089209,277,978,28.0,Inactive,-0.02464850765245092,-0.31129224258008875,38.04967353407174,1.5803509348790117
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021206,"1,2-Propylene glycol",57-55-6,C3H8O2,76.052429,20,909,2.0,Inactive,0.0022810892643316634,0.02880845374622756,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021123,Phenobarbital sodium,57-30-7,C12H11N2NaO3,254.066736,29,981,3.0,Inactive,-0.014727321806551036,-0.18599507511782593,0.5894405825450797,-0.22955996660511396
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021254,Safrole,94-59-7,C10H10O2,162.068080,14,883,2.0,Inactive,0.03460585036174864,0.43704604422282517,3.9685027038887015,0.5986266805427614
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021256,Sulfasalazine,599-79-1,C18H14N4O5S,398.068491,55,1007,5.0,Inactive,0.018399944902568927,0.2323775618724412,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021333,Tetramethylthiuram monosulfide,97-74-5,C6H12N2S3,208.016262,178,666,27.0,Active,-0.13341424214788417,-1.684922236101716,25.137161886020554,1.4003162420524131
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021337,Thiabendazole,148-79-8,C10H7N3S,201.036068,84,1002,8.0,Inactive,-0.03396835875049104,-0.42899500129184925,4.129045060934913,0.6158496224263121
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021385,Folpet,133-07-3,C9H4Cl3NO2S,294.902833,210,1035,20.0,Inactive,-0.08104862652738445,-1.0235836207810682,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021389,Trichlorfon,52-68-6,C4H8Cl3O4P,255.922579,129,1034,12.0,Inactive,0.01938017037075215,0.24475707744098443,0.8134953855839053,-0.0896449061827227
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021339,Thiotepa,52-24-4,C6H12N3PS,189.048956,32,636,5.0,Inactive,-0.015116827452134093,-0.19091424051399541,0.020000000293137962,-1.6989699979706088
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021464,Ziram,137-30-4,C6H12N2S4Zn,303.917475,408,937,44.0,Active,-0.7488987812903456,-9.458032282542113,1.6931324069282518,0.22869092228482937
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021597,Heptanal,111-71-7,C7H14O,114.104465,18,648,3.0,Inactive,-0.02456268620009047,-0.3102083817336854,0.30071824534310587,-0.5218402213459531
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021414,Tris(2-ethylhexyl) phosphate,78-42-2,C24H51O4P,434.352497,83,929,9.0,Inactive,-0.021650948231456035,-0.273435305860604,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021626,4-Isopropylbenzyl alcohol,536-60-7,C10H14O,150.104465,14,623,2.0,Inactive,-0.02634443746202132,-0.3327105694469122,0.020000000784390147,-1.6989699873032036
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021834,4-Nitrophenol,100-02-7,C6H5NO3,139.026943,52,902,6.0,Inactive,-0.0009591718729814207,-0.01211362438530598,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021836,"1,4-Dinitrobenzene",100-25-4,C6H4N2O4,168.017107,102,503,20.0,Inactive,-0.021538493759162773,-0.2720150898636794,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021832,"N,N,4-Trimethylaniline",99-97-8,C9H13N,135.104799,20,855,2.0,Inactive,0.012194870960711538,0.1540121123299416,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021915,Diethyl decanedioate,110-40-7,C14H26O4,258.183109,10,618,2.0,Inactive,-0.014437782489754329,-0.1823384097930272,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021961,Benzophenone,119-61-9,C13H10O,182.073165,43,872,5.0,Inactive,0.02094513215291667,0.2645213759369092,3.0846759044146177,0.48920954103756564
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021965,"1,2,4-Trichlorobenzene",120-82-1,C6H3Cl3,179.930033,49,906,5.0,Inactive,0.008162301708406202,0.1030837744520572,0.10000000276805282,-0.9999999879784995
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021963,4-(Diethylamino)benzaldehyde,120-21-8,C11H15NO,177.115364,34,522,7.0,Inactive,-0.004028773460242194,-0.05088039985906542,20.00000000000001,1.3010299956639815
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021969,4-Hydroxy-3-methoxybenzaldehyde,121-33-5,C8H8O3,152.047344,29,878,3.0,Inactive,0.03405717922195002,0.43011673750960916,0.10000041706648613,-0.999998188707042
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022012,3-Methoxyphenol,150-19-6,C7H8O2,124.052429,4,517,1.0,Inactive,-0.01941365455042478,-0.2451799576221386,0.10346793199421238,-0.9851942310374023
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022018,Disulfoton,298-04-4,C8H19O2PS3,274.028480,90,1075,8.0,Inactive,0.026007487904836542,0.32845514819498955,6.086512764365172,0.7843685371371081
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00223797,Dichloromethyl((perfluorohexyl)ethyl)silane,73609-36-6,C9H7Cl2F13Si,459.948648,15,460,3.0,Inactive,-0.018150505229066333,-0.2292273250934877,1.0976971370257043,0.040482531496458564
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022519,Folic acid,59-30-3,C19H19N7O6,441.139681,31,926,3.0,Inactive,0.0013145382361463517,0.016601636141918022,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022436,"4,4-Bis(4-hydroxyphenyl)valeric acid",126-00-1,C17H18O4,286.120509,49,735,7.0,Inactive,-0.020278478050255542,-0.25610203251990665,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022777,Celecoxib,169590-42-5,C17H14F3N3O2S,381.075882,283,939,30.0,Inactive,0.0001601576853668833,0.002022671950256427,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023581,Simvastatin,79902-63-9,C25H38O5,418.271924,265,1002,26.0,Active,-0.5843632285251473,-7.380071136714276,35.94680629036719,1.555660311350799
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023745,D-Xylose,58-86-6,C5H10O5,150.052823,4,667,1.0,Inactive,0.030515274251113528,0.3853851230474402,2.9632778660370978,0.4717723771056246
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023878,Anthracene,120-12-7,C14H10,178.078250,60,979,6.0,Inactive,0.009970940709329858,0.12592553422729263,1.746759738393799,0.2422331731766455
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023826,Isophorone diisocyanate,4098-71-9,C12H18N2O2,222.136828,32,912,4.0,Inactive,-0.015197214331952336,-0.19192946676807449,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023951,Carboxin,5234-68-4,C12H13NO2S,235.066700,91,978,9.0,Inactive,-0.01552745511718931,-0.19610016124083315,0.21908842164777728,-0.6593805733628363
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023907,Benzo(b)fluoranthene,205-99-2,C20H12,252.093900,199,938,21.0,Inactive,0.0009923990449011257,0.012533258750490382,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023901,Bentazone,25057-89-0,C10H12N2O3S,240.056863,30,962,3.0,Inactive,0.027198851590702976,0.34350118176144634,1.0890664597675532,0.03705438318058687
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024000,Chlorthal-dimethyl,1861-32-1,C10H6Cl4O4,329.902019,46,891,5.0,Inactive,0.022811392960690197,0.28809085609703494,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024002,Fenpropathrin,39515-41-8,C22H23NO3,349.167794,147,1000,15.0,Inactive,0.0690755350090515,0.8723724171694005,8.01038085575042,0.9036531652251449
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024216,Nitrapyrin,1929-82-4,C6H3Cl4N,228.901960,39,929,4.0,Inactive,0.0037704780245190763,0.047618321417312155,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024052,Dimethipin,55290-64-7,C6H10O4S2,210.002051,123,914,13.0,Inactive,0.013025066427307611,0.1644968610303692,0.10000010706125696,-0.9999995350391176
