DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00190950,6:1 Fluorotelomer alcohol,375-82-6,C7H3F13O,349.997631,52,461,11.0,Inactive,0.012814459315148144,0.14927537640007524,0.20000010389844974,-0.6989697787234604
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020022,Acifluorfen,50594-66-6,C14H7ClF3NO5,360.996485,74,1009,7.0,Inactive,0.03266550120795965,0.38051976038904123,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020105,Sodium L-ascorbate,134-03-2,C6H7NaO6,198.014032,21,921,2.0,Inactive,0.032445377735407975,0.3779555465262839,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00192353,8:2 Fluorotelomer sulfonic acid,39108-34-4,C10H5F17O3S,527.968794,40,506,8.0,Active,-0.1293005546041591,-1.5062195354944006,8.271998488575381,0.9176104463974215
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00194615,"1H,1H,9H-Perfluorononyl acrylate",4180-26-1,C12H6F16O2,486.011230,72,464,16.0,Inactive,0.06739321700235654,0.7850622166279374,0.19316693458520384,-0.7140672120621792
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020232,Caffeine,58-08-2,C8H10N4O2,194.080376,65,972,7.0,Inactive,-0.05595172086210434,-0.6517804603780125,0.09851846505647212,-1.006482363202171
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020284,"2-Chloro-1,4-diaminobenzene sulfate (1:1)",61702-44-1,C6H9ClN2O4S,239.997156,214,636,34.0,Active,-0.14303161776565837,-1.666172411491519,8.869680746871813,0.9479079882232555
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020311,Monuron,150-68-5,C9H11ClN2O,198.055991,26,894,3.0,Inactive,0.019319960158699228,0.22505782365043497,0.10000001677937995,-0.9999999271280849
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020319,Chlorothalonil,1897-45-6,C8Cl4N2,263.881559,384,1103,35.0,Active,-0.7246121245312922,-8.44099192742385,1.0138462903213041,0.0059721164120957945
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020365,Cyclosporin A,59865-13-3,C62H111N11O12,1201.841368,184,702,26.0,Inactive,0.05862006565799513,0.6828639547319977,0.15256831268213558,-0.816535656789332
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020440,Dichlorprop,120-36-5,C9H8Cl2O3,233.985050,25,959,3.0,Inactive,0.022259310570403545,0.2592982569210139,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",94-75-7,C8H6Cl2O3,219.969400,39,975,4.0,Inactive,0.01640191974926057,0.19106563016360822,20.00000000000001,1.3010299956639815
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020498,Dimethyl terephthalate,120-61-6,C10H10O4,194.057909,33,844,4.0,Inactive,0.02909983636987242,0.33898340308110664,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020446,Diuron,330-54-1,C9H10Cl2N2O,232.017018,119,1048,11.0,Inactive,-0.0033053748851679735,-0.0385042449308444,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020523,"2,4-Dinitrophenol",51-28-5,C6H4N2O5,184.012021,166,844,20.0,Inactive,-0.011157588565087587,-0.12997452267078896,0.1000000434745031,-0.999999811192673
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020529,"2,4-Dinitrotoluene",121-14-2,C7H6N2O4,182.032757,32,902,4.0,Inactive,-0.008238984321945825,-0.0959757610966018,0.10000003312105668,-0.9999998561571023
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020604,4-Vinyl-1-cyclohexene diepoxide,106-87-6,C8H12O2,140.083730,24,863,3.0,Inactive,0.004023547719535144,0.04687022569787834,0.10000002950237792,-0.9999998718728196
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020573,17beta-Estradiol,50-28-2,C18H24O2,272.177630,217,984,22.0,Inactive,0.01552162497412997,0.18081109420005784,0.9031155950850047,-0.0442566582196381
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,103-23-1,C22H42O4,370.308310,11,861,1.0,Inactive,-0.013050894323309558,-0.1520296030099899,0.10000000300752922,-0.9999999869384668
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020654,Geranyl acetate,105-87-3,C12H20O2,196.146330,10,867,1.0,Inactive,0.029283299383882626,0.3411205600066034,0.10000000893226982,-0.9999999612076468
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020814,Mestranol,72-33-3,C21H26O2,310.193280,159,758,21.0,Active,-0.22812626416019643,-2.657438219730509,3.9685026719992895,0.5986266770529323
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020941,Sodium nitrite,7632-00-0,NNaO2,68.982673,5,857,1.0,Inactive,-0.02147527781026427,-0.250165075215764,3.9685026836193167,0.5986266783245741
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020943,5-Nitro-o-anisidine,99-59-2,C7H8N2O3,168.053492,29,901,3.0,Inactive,0.058283577321261305,0.6789442089288485,0.032077073460579045,-1.4938052612699972
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021094,"4,4'-Oxydianiline",101-80-4,C12H12N2O,200.094963,70,918,8.0,Inactive,0.013396035692068506,0.15605014780752385,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021125,Phenolphthalein,77-09-8,C20H14O4,318.089209,277,978,28.0,Active,-0.11051864648011046,-1.2874294690719548,26.59993954844843,1.4248806496459128
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021206,"1,2-Propylene glycol",57-55-6,C3H8O2,76.052429,20,909,2.0,Inactive,0.0380028799459288,0.4426947769469593,0.3505982998525367,-0.45519019425035845
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021123,Phenobarbital sodium,57-30-7,C12H11N2NaO3,254.066736,29,981,3.0,Inactive,-0.021363368641740307,-0.24886144758363388,1.1289806768682653,0.05268650879715447
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021254,Safrole,94-59-7,C10H10O2,162.068080,14,883,2.0,Inactive,0.00841799366538983,0.09806103730409237,2.4136332662175786,0.38267128292893343
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021256,Sulfasalazine,599-79-1,C18H14N4O5S,398.068491,55,1007,5.0,Inactive,0.0087327012479766,0.10172705954438029,20.00000000000001,1.3010299956639815
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021333,Tetramethylthiuram monosulfide,97-74-5,C6H12N2S3,208.016262,178,666,27.0,Inactive,-0.006214285180859028,-0.072390081907987,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021337,Thiabendazole,148-79-8,C10H7N3S,201.036068,84,1002,8.0,Inactive,-0.006721314492398512,-0.07829645606428533,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021385,Folpet,133-07-3,C9H4Cl3NO2S,294.902833,210,1035,20.0,Inactive,-0.044032588413834096,-0.512934728473067,9.378996121719407,0.9721563562757204
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021389,Trichlorfon,52-68-6,C4H8Cl3O4P,255.922579,129,1034,12.0,Inactive,0.008795889952775877,0.10246314348371552,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021339,Thiotepa,52-24-4,C6H12N3PS,189.048956,32,636,5.0,Inactive,0.02291192876703449,0.26690059304396374,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021464,Ziram,137-30-4,C6H12N2S4Zn,303.917475,408,937,44.0,Active,-0.7649022473768023,-8.910330750471903,1.7681296432258238,0.24751410528870446
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021597,Heptanal,111-71-7,C7H14O,114.104465,18,648,3.0,Inactive,0.025177249031469718,0.29328926281331935,0.2012310056608995,-0.6963051023934725
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021414,Tris(2-ethylhexyl) phosphate,78-42-2,C24H51O4P,434.352497,83,929,9.0,Inactive,-0.04196979752819403,-0.4889053193254985,3.968502664302028,0.5986266762105799
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021626,4-Isopropylbenzyl alcohol,536-60-7,C10H14O,150.104465,14,623,2.0,Inactive,-0.0025835633827694295,-0.030095877393786063,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021834,4-Nitrophenol,100-02-7,C6H5NO3,139.026943,52,902,6.0,Inactive,0.026428310074768514,0.3078628475073794,7.577765844226455,0.8795411812858325
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021836,"1,4-Dinitrobenzene",100-25-4,C6H4N2O4,168.017107,102,503,20.0,Inactive,-0.10804689684614366,-1.2586361077679022,3.96850264611401,0.5986266742201677
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021832,"N,N,4-Trimethylaniline",99-97-8,C9H13N,135.104799,20,855,2.0,Inactive,0.03824934245289427,0.4455658136868619,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021915,Diethyl decanedioate,110-40-7,C14H26O4,258.183109,10,618,2.0,Inactive,-0.027236160654474817,-0.3172734825092108,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021961,Benzophenone,119-61-9,C13H10O,182.073165,43,872,5.0,Inactive,-0.008945641194208312,-0.10420759265487797,20.000000000000007,1.3010299956639813
