DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00190950,6:1 Fluorotelomer alcohol,375-82-6,C7H3F13O,349.997631,52,461,11.0,Inactive,-0.028955313257551133,-0.345927978699282,0.2506549285637738,-0.6009237515456133
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020022,Acifluorfen,50594-66-6,C14H7ClF3NO5,360.996485,74,1009,7.0,Inactive,-0.02599448165214522,-0.3105550409791241,5.591307985877233,0.7475134151495804
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020105,Sodium L-ascorbate,134-03-2,C6H7NaO6,198.014032,21,921,2.0,Inactive,-0.014747276124599135,-0.1761851227692162,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00192353,8:2 Fluorotelomer sulfonic acid,39108-34-4,C10H5F17O3S,527.968794,40,506,8.0,Inactive,-0.018002035517475375,-0.2150696041048328,29.999999999999996,1.4771212547196624
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00194615,"1H,1H,9H-Perfluorononyl acrylate",4180-26-1,C12H6F16O2,486.011230,72,464,16.0,Inactive,-0.05632620041802401,-0.6729268816781437,30,1.4771212547196624
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020232,Caffeine,58-08-2,C8H10N4O2,194.080376,65,972,7.0,Inactive,0.03610225664772455,0.43131222783000533,3.9685026697436787,0.5986266768060888
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020284,"2-Chloro-1,4-diaminobenzene sulfate (1:1)",61702-44-1,C6H9ClN2O4S,239.997156,214,636,34.0,Active,-0.24060814596787405,-2.8745359738611174,12.048673336977341,1.0809392299690488
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020311,Monuron,150-68-5,C9H11ClN2O,198.055991,26,894,3.0,Inactive,-0.032241690061446844,-0.3851901919899421,0.10000000196811902,-0.9999999914525678
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020319,Chlorothalonil,1897-45-6,C8Cl4N2,263.881559,384,1103,35.0,Active,-0.7675412783810455,-9.169785200972596,0.792424658219132,-0.1010420187949195
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020365,Cyclosporin A,59865-13-3,C62H111N11O12,1201.841368,184,702,26.0,Active,-0.41667218140405815,-4.977966019957912,3.1036236829686294,0.4918690572002198
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020440,Dichlorprop,120-36-5,C9H8Cl2O3,233.985050,25,959,3.0,Inactive,-0.03761614921086143,-0.44939864221881337,0.1000000021068232,-0.9999999908501832
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",94-75-7,C8H6Cl2O3,219.969400,39,975,4.0,Inactive,0.015177244603239248,0.1813219391247288,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020498,Dimethyl terephthalate,120-61-6,C10H10O4,194.057909,33,844,4.0,Inactive,0.01209955873156703,0.14455294812162645,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020446,Diuron,330-54-1,C9H10Cl2N2O,232.017018,119,1048,11.0,Inactive,0.012713741411012133,0.15189056422554292,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020523,"2,4-Dinitrophenol",51-28-5,C6H4N2O5,184.012021,166,844,20.0,Inactive,-0.017151432793136225,-0.20490748710442325,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020529,"2,4-Dinitrotoluene",121-14-2,C7H6N2O4,182.032757,32,902,4.0,Inactive,-0.015318633269937123,-0.18301110391623826,1.0603031745481895,0.025430061687064954
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020604,4-Vinyl-1-cyclohexene diepoxide,106-87-6,C8H12O2,140.083730,24,863,3.0,Inactive,-0.0018065492607056966,-0.021582772343643336,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020573,17beta-Estradiol,50-28-2,C18H24O2,272.177630,217,984,22.0,Inactive,-0.05798679133554393,-0.6927658954865764,3.9685027906546564,0.5986266900380238
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,103-23-1,C22H42O4,370.308310,11,861,1.0,Inactive,0.03817628112715201,0.45609051599976186,20.000000000000007,1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020654,Geranyl acetate,105-87-3,C12H20O2,196.146330,10,867,1.0,Inactive,0.031397294174843646,0.3751022278337105,0.10000000427390256,-0.9999999814386774
