DTXSID;PREFERRED NAME;CASRN;MOLECULAR FORMULA;MONOISOTOPIC MASS;ToxCast Active;ToxCast Total;% ToxCast Active;HIT CALL;TOP;SCALED TOP;AC50;LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00190950;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11.0;Inactive;0.0235980665960499;0.298025956573815;30.0;1.4771212547196624
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020022;Acifluorfen;50594-66-6;C14H7ClF3NO5;360.996485;74;1009;7.0;Inactive;-0.0349705798674803;-0.4416523054770659;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020105;Sodium L-ascorbate;134-03-2;C6H7NaO6;198.014032;21;921;2.0;Inactive;0.0060513541561095;0.0764240834561999;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00192353;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8.0;Inactive;-0.0536251918184819;-0.6772461219696924;3.583642580355961;0.5543246881776758
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00194615;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.011230;72;464;16.0;Inactive;-0.0423720528100449;-0.5351273808517694;9.88231932094137;0.994858882854576
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020232;Caffeine;58-08-2;C8H10N4O2;194.080376;65;972;7.0;Inactive;-0.0170917068682781;-0.2158554925745688;0.1000008271153426;-0.9999964078985636
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020284;2-Chloro-1,4-diaminobenzene sulfate (1:1);61702-44-1;C6H9ClN2O4S;239.997156;214;636;34.0;Inactive;-0.0358527456105276;-0.4527933999543714;2.118872519011436;0.3261048283694396
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020311;Monuron;150-68-5;C9H11ClN2O;198.055991;26;894;3.0;Inactive;0.021842100393101;0.2758494148976109;0.1000000126202483;-0.9999999451909614
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020319;Chlorothalonil;1897-45-6;C8Cl4N2;263.881559;384;1103;35.0;Active;-0.5440300089013802;-6.870692696275135;0.5377308988105222;-0.2694350076044193
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020365;Cyclosporin A;59865-13-3;C62H111N11O12;1201.841368;184;702;26.0;Active;0.127147858589977;1.6057824918984214;2.017138270169838;0.3047356691168715
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020440;Dichlorprop;120-36-5;C9H8Cl2O3;233.985050;25;959;3.0;Inactive;-0.0143923706315168;-0.1817648919399472;0.3852799110230018;-0.4142236350547578
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020442;2,4-Dichlorophenoxyacetic acid;94-75-7;C8H6Cl2O3;219.969400;39;975;4.0;Inactive;0.0080680533799599;0.1018934884544161;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020498;Dimethyl terephthalate;120-61-6;C10H10O4;194.057909;33;844;4.0;Inactive;0.016755703346722;0.2116120190460767;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020446;Diuron;330-54-1;C9H10Cl2N2O;232.017018;119;1048;11.0;Inactive;0.0180889121292227;0.2284494502441002;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020523;2,4-Dinitrophenol;51-28-5;C6H4N2O5;184.012021;166;844;20.0;Inactive;-0.0056198323327208;-0.0709742851146938;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020529;2,4-Dinitrotoluene;121-14-2;C7H6N2O4;182.032757;32;902;4.0;Inactive;0.0089387027938763;0.112889140295923;0.4638030970583491;-0.3336663556746154
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020604;4-Vinyl-1-cyclohexene diepoxide;106-87-6;C8H12O2;140.083730;24;863;3.0;Inactive;6.68340170116e-05;0.0008440637189704737;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020573;17beta-Estradiol;50-28-2;C18H24O2;272.177630;217;984;22.0;Inactive;0.0095087314464318;0.1200881764441122;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020606;Bis(2-ethylhexyl)hexanedioate;103-23-1;C22H42O4;370.308310;11;861;1.0;Inactive;0.0101866891837305;0.1286502763243158;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020654;Geranyl acetate;105-87-3;C12H20O2;196.146330;10;867;1.0;Inactive;0.0187936479910484;0.2373497378374761;0.1000000001450184;-0.9999999993701928
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020814;Mestranol;72-33-3;C21H26O2;310.193280;159;758;21.0;Inactive;0.0146526773187119;0.1850523709856602;0.0200000003123047;-1.6989699975544068
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020941;Sodium nitrite;7632-00-0;NNaO2;68.982673;5;857;1.0;Inactive;0.0322295272404312;0.4070348579895578;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020943;5-Nitro-o-anisidine;99-59-2;C7H8N2O3;168.053492;29;901;3.0;Inactive;0.0229064912460931;0.2892918764162368;4.304536727271663;0.6339264176674957
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021094;4,4'-Oxydianiline;101-80-4;C12H12N2O;200.094963;70;918;8.0;Inactive;0.0182513470175866;0.2305008815674496;5.520854638892866;0.742006312552602
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021125;Phenolphthalein;77-09-8;C20H14O4;318.089209;277;978;28.0;Inactive;-0.0246485076524509;-0.3112922425800887;38.04967353407174;1.5803509348790117
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021206;1,2-Propylene glycol;57-55-6;C3H8O2;76.052429;20;909;2.0;Inactive;0.0022810892643316;0.0288084537462275;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021123;Phenobarbital sodium;57-30-7;C12H11N2NaO3;254.066736;29;981;3.0;Inactive;-0.014727321806551;-0.1859950751178259;0.5894405825450797;-0.2295599666051139
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021254;Safrole;94-59-7;C10H10O2;162.068080;14;883;2.0;Inactive;0.0346058503617486;0.4370460442228251;3.9685027038887015;0.5986266805427614
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021256;Sulfasalazine;599-79-1;C18H14N4O5S;398.068491;55;1007;5.0;Inactive;0.0183999449025689;0.2323775618724412;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021333;Tetramethylthiuram monosulfide;97-74-5;C6H12N2S3;208.016262;178;666;27.0;Active;-0.1334142421478841;-1.684922236101716;25.137161886020557;1.4003162420524131
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021337;Thiabendazole;148-79-8;C10H7N3S;201.036068;84;1002;8.0;Inactive;-0.033968358750491;-0.4289950012918492;4.129045060934913;0.6158496224263121
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021385;Folpet;133-07-3;C9H4Cl3NO2S;294.902833;210;1035;20.0;Inactive;-0.0810486265273844;-1.0235836207810682;20.000000000000007;1.3010299956639813
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021389;Trichlorfon;52-68-6;C4H8Cl3O4P;255.922579;129;1034;12.0;Inactive;0.0193801703707521;0.2447570774409844;0.8134953855839053;-0.0896449061827227
