SMILES;LogP;Peso_Molecular;Dobles_Enlaces;TPSA;NumRotatableBonds
C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)F;6.558100000000002;499.9680644;0;0.0;1
CO[Si](CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OC)OC;6.264000000000004;568.036250546;0;27.69;12
C(C(F)(F)F)(C(F)(F)F)(F)F;2.7462999999999997;187.98722576;0;0.0;0
CCO[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OCC)OCC;6.163700000000004;510.08958785799996;0;27.69;13
C12(C(C(C(C(C1(C(F)(F)F)F)(F)F)(F)F)(F)F)(C(C(C(C2(F)F)(F)F)(F)F)(F)F)F)F;6.147900000000002;511.9680644;0;0.0;0
C(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F;6.558100000000002;487.9680644;0;0.0;3
C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F;6.348200000000002;497.89119184000003;0;0.0;6
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;5.0804;463.97050901200004;1;37.3;7
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;3.8097999999999996;363.97689613200004;1;37.3;5
C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F;6.3530000000000015;499.9680644;0;0.0;3
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F;4.6522;337.97764508;0;0.0;3
C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F;4.652200000000001;337.97764508;0;0.0;2
C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F;4.4471;349.97764508;0;0.0;0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;4.4451;413.97370257200004;1;37.3;6
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F;5.2875000000000005;387.97445152;0;0.0;4
C1(C(C(C(C(C1(F)F)(F)F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F;5.082400000000001;399.97445152;0;0.0;0
C12(C3(C(C(C1(C(C(C(C2(F)F)(F)F)(F)F)(F)F)F)(F)F)(C(C(C(C3(F)F)(F)F)(F)F)(F)F)F)F)F;6.578100000000002;573.96487084;0;0.0;0
C12(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(C(C(C(C2(F)F)(F)F)(F)F)(F)F)F)F;5.5126;461.97125796;0;0.0;0
C12(C3(C(C(C(C1(C(C(C(C2(F)F)(F)F)(F)F)(F)F)F)(F)F)(F)F)(C(C(C(C3(F)F)(F)F)(F)F)(F)F)F)F)F;7.213400000000003;623.96167728;0;0.0;0
C(C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F)O;2.8771;312.000825136;0;20.23;1
C(CP(=O)(O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;4.293000000000001;427.984697542;1;57.53;7
CC(C)CC(C)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;6.566500000000004;448.10718202400005;0;9.23;10
C1(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F;3.8117999999999994;299.98083864;0;0.0;0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F;4.8411;499.93749463200004;2;54.370000000000005;7
C(C(C(C(C(F)(F)[Si](C(C(F)(F)F)(F)F)(O[Si](O[Si](F)(F)F)(F)F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F;8.435400000000003;767.87589899;0;18.46;12
COC(C(C(F)(F)F)(C(F)(F)F)F)(F)F;3.0585000000000004;250.004018696;0;9.23;2
COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F;3.0585000000000004;250.004018696;0;9.23;3
COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F;3.0585000000000004;250.004018696;0;9.23;3
CCOC(C(C(F)(F)F)(C(F)(F)F)F)(F)F;3.4486000000000008;264.01966876000006;0;9.23;3
CCOC(C(C(C(F)(F)F)(F)F)(F)F)(F)F;3.4486000000000008;264.01966876000006;0;9.23;4
C(CP(=O)(O)[O-])C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F.[Na+];0.6649999999999991;449.96664179000004;1;60.36;7
C12(C(C(C(C(C1(F)F)(C(C3(C(C(C(C(C3(F)F)(F)F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)(F)F)(C(C(C(C2(F)F)(F)F)(F)F)(F)F)F)F;9.119300000000003;773.9520966;0;0.0;2
C(=C(F)F)(C(F)(F)F)F;2.6262999999999996;149.99041932;1;0.0;0
CCO[Si](CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OCC)OCC;7.434300000000006;610.083200738;0;27.69;15
C=CC(=O)OCCC(F)(F)F;1.668;168.039814124;2;26.3;3
[O-]P(=O)([O-])F.[Ca+2];-1.5962000000000003;137.91949969;1;63.19;0
[Li+].[F-];-5.992;26.01440777;0;0.0;0
[F-].[K+];-5.992;57.9621099;0;0.0;0
F[Sn]F;0.4596;157.89900114;0;0.0;0
C=C(F)F;1.3965999999999998;64.012456504;1;0.0;0
C1=CC=C2C(=C1)C(=CC=C2C3=NC4=CC=CC=C4O3)C5=NC6=CC=CC=C6O5;6.4562000000000035;362.105527688;0;52.06;2
C1=CC=C2C(=C1)C3=CC=CC=C3C2=O;2.8980000000000015;180.057514876;1;17.07;0
CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O;2.9233000000000016;376.20498762799997;4;74.6;1
C1C(C(OC1N2C=CC(=O)NC2=O)CO)F;-0.8455000000000001;230.070285052;2;84.32000000000001;2
C1=CC=C(C=C1)NC2=NC(=NC(=N2)N(CCC(=O)N)CCO)NC3=CC(=C(C=C3)C=CC4=C(C=C(C=C4)NC5=NC(=NC(=N5)NC6=CC=CC=C6)N(CCC(=O)N)CCO)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+];-3.6341999999999985;1014.2601641680002;7;372.97999999999996;24
CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CCl;4.103100000000004;466.1922300239999;5;80.67000000000002;4
C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1;5.640400000000003;252.093900384;0;0.0;0
[F-].[F-].[F-].[F-].[F-].[F-].[Si+4].[Cd+2];-18.3593;255.87070435;0;0.0;0
CC1=CC(=C(C=C1O)N)F.CC1=CC(=C(C=C1O)N)F.OS(=O)(=O)O;2.19104;380.08536373599986;2;167.1;0
CC1=CC(=C(C=C1O)N)F.CC1=CC(=C(C=C1O)N)F.OS(=O)(=O)O;2.19104;380.08536373599986;2;167.1;0
C1=CC=C2C(=C1)N=C(O2)C3=CC=C(C=C3)C=CC4=CC=C(C=C4)C5=NC6=CC=CC=C6O5;7.473400000000004;414.136827816;1;52.06;4
C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F;1.9885;315.10033045;0;30.71;4
[F-].[F-].[Ca+2];-6.3728;77.95939742;0;0.0;0
[O-]P(=O)([O-])F.[Ca+2];-1.5962000000000003;137.91949969;1;63.19;0
[F-].[K+];-5.992;57.9621099;0;0.0;0
F[Sn]F;0.4596;157.89900114;0;0.0;0
CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C.CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C.O;3.724700000000003;886.431498548;8;217.61999999999998;4
[F-].[Na+];-5.992;41.9881725;0;0.0;0
[F-].[Na+];-5.992;41.9881725;0;0.0;0
CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C;2.3667999999999996;452.2010451199999;4;93.06;2
CC1CC2C3CC(C4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)F;1.7515999999999998;392.19990224799994;4;94.83000000000001;2
C1=CC(=C(C=C1O)F)N;1.1134999999999997;127.043342032;0;46.25;0
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C;2.780800000000001;376.20498762799997;4;74.60000000000001;2
CCCCCCCCC=CCCCCCCCCN.F;6.135100000000007;287.298828436;1;26.02;15
C1=CC=C(C=C1)C2=CC3=C(C=C(C=C3)N4N=C5C=CC6=CC=CC=C6C5=N4)OC2=O;5.347100000000004;389.11642672;1;60.92;2
C1=CC=C(C=C1)CS(=O)(=O)F;1.4859000000000002;174.015078684;2;34.14;2
C12(C3(C(C(C1(C(C(C(C2(F)F)(F)F)(F)F)(F)F)F)(F)F)(C(C(C(C3(F)F)(F)F)(F)F)(F)F)F)F)F;6.578100000000002;573.96487084;0;0.0;0
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)F)C;3.1422000000000017;410.16601527599994;4;74.60000000000001;2
C1=CC=C2C(=C1)C=CC3=C2C4=CC=CC5=C4C3=CC=C5;5.640400000000003;252.093900384;0;0.0;0
CC1=CC(=C(C=C1N)N)F.O.OS(=O)(=O)O;-0.1789799999999998;256.05292073600003;2;158.14;0
CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C;2.4987000000000004;436.2261169959999;3;93.06;2
[O-]P(=O)([O-])F.[K+].[K+];-7.2074;175.88432207;1;63.19;0
C1=CC=C(C(=C1)C2C(O2)(CN3C=NC=N3)C4=CC=C(C=C4)F)Cl;3.7376000000000023;329.073117936;0;43.24;4
CC(C)C1=C(C=C(C=C1)Cl)CN(C2CC2)C(=O)C3=C(N(N=C3C(F)F)C)F;5.078400000000004;399.13252463200007;1;38.13;6
[NH4+].[F-];-2.6198;37.032777348;0;36.5;0
[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[F-].[F-].[Mg+2].[Mg+2].[Mg+2].[Al+3].[Si+4].[Si+4].[Si+4].[K+];-12.841600000000003;419.77710264;0;285.0;0
[O-]P(=O)([O-])F.[Na+].[Na+];-7.2074;143.93644727;1;63.19;0
[O-]P(=O)([O-])F.[Na+].[Na+];-7.2074;143.93644727;1;63.19;0
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=C(C=C3)F;4.275800000000004;354.210741704;1;23.550000000000004;6
F[Cd]F;0.8379000000000001;151.90016494;0;0.0;0
[F-].[F-].[Ca+2];-6.3728;77.95939742;0;0.0;0
CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C)O)C)O)F;3.3322000000000025;336.210073008;2;57.53;0
CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C;2.4188;434.2104669319999;4;93.06;2
C1CN(CCC1(C2=CC(=CC=C2)C(F)(F)F)O)CCCC(=O)C3=CC=C(C=C3)F;4.791000000000004;409.166491856;1;40.54;6
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(=O)CC2(C1(C(=O)CCl)O)C)F)C;3.3504000000000023;408.15036521199994;5;71.44;2
CC12CC(C3C(C1CCC2(C(=O)CO)O)CC(C4=CC(=O)C=CC34C)F)O;1.5055999999999998;378.184252184;4;94.83;2
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F;4.425600000000004;375.140134876;1;40.54;6
C1=C(C(=O)NC(=O)N1)F;-0.7977000000000001;130.017855556;2;65.72;0
CC1=NN(C(=C1C(=O)NC2=CC=CC=C2C(C)CC(C)C)F)C;4.2695200000000035;317.190340608;1;46.92;5
CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)Cl)C)F;2.9981000000000018;410.16601527599994;4;74.60000000000001;2
CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O;4.365500000000003;356.088243624;4;54.370000000000005;4
CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)Cl)Cl)C)F)C;3.8826000000000027;486.13760760799994;4;72.83;2
CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C;2.9376000000000007;494.21160980399986;5;99.13000000000001;3
CC1=C(C2=C(N1S(=O)(=O)C3=NN(C=N3)S(=O)(=O)N(C)C)C=C(C=C2)F)Br;1.33432;464.9576362160001;4;107.15999999999998;4
CCCCCCCCCCCCCCCCN.F;5.578900000000005;261.283178372;0;26.02;14
CCS(=O)(=O)C1=CC=C(C=C1)F;1.6193000000000002;188.030728748;2;34.14;2
CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(=C5C4(CCC(=C5)OCCCl)C)C=O)F)O)C)OC(O2)(C)C;3.962800000000003;568.2239240759999;5;108.36000000000003;7
CC(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)CCC43C)F)O)C)OC(=O)C;3.472100000000003;406.21555231199994;4;80.67000000000002;2
CCCCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CO;3.636800000000003;476.2574171239999;5;100.90000000000002;6
