INPUT;FOUND_BY;DTXSID;PREFERRED_NAME;VERIFICACION ;SMILES;MOLECULAR_FORMULA;AVERAGE_MASS;iupac_name;iupac_name_SMILES;ValidaciÃ³n IUPAC;verificaciÃ³n manual;PREFERRED NAME;CASRN;MOLECULAR FORMULA;MONOISOTOPIC MASS;ToxCast Active;ToxCast Total;% ToxCast Active;HIT CALL;ATS;Clasificacion_ATS
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
6:1 Fluorotelomer alcohol;PUBCHEM;DTXSID00190950;6:1 Fluorotelomer alcohol;;C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
