INPUT;SMILES;Clasificacion_ATS;LogP;Peso_Molecular;NumHAcceptors;NumHDonors;Dobles_Enlaces;Triples_Enlaces;Numero_hidroxilos;Numero_carboxilos;MACCS;MACCS_array;ECFP;ECFP_array;TPSA
Musk Xylene;CC1=C(C(=C(C(C)=C1[N+]([O-])=O)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O;Activo;3.325540000000003;297.0960852;6;0;3;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FB56E40>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0
 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 1 1 1 0 1 0 1 0
 1 1 1 0 0 0 0 0 1 0 1 1 1 1 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FBD0200>;[0 0 0 ... 0 0 0];129.42000000000002
C.I. Acid Yellow 23;C1=CC(=CC=C1N=NC2=C(NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+] ;Inactivo;-9.235300000000006;533.950402708;12;1;7;0;0;1;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FB56F20>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 1 1 0 0 0 1 0 0 0 1 1 0 1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 0 1 0 1 0 0 0 1
 0 1 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1
 0 1 1 0 0 0 1 0 1 1 1 1 1 1 1 0 1 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 1 1 1 1 0
 1 0 1 1 0 0 1 0 1 1 1 1 0 1 1 1 1 1 1]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FBD02E0>;[0 0 0 ... 0 0 0];217.04
Thifensulfuron methyl;COC(=O)C1=C(C=CS1)S(=O)(=O)NC(=O)NC1=NC(C)=NC(OC)=N1;Inactivo;0.5471199999999999;387.0307251360001;10;2;4;0;0;1;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FB57900>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1
 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 1 0 0 1 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 1 0 0 0 1 1 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 1
 0 1 1 0 0 0 1 0 0 1 1 0 1 1 1 1 1 0 0 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 0 1 0
 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FBD0C80>;[0 1 0 ... 0 0 0];149.46999999999997
Rimsulfuron;CCS(=O)(=O)C1=CC=CN=C1S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1;Inactivo;0.19279999999999942;431.05693988400003;10;2;5;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FB58D60>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0
 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 1 1 0 0 1 1 0 1 0 1 0 0 0 1
 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 1 0 0 1 1 1 1 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1
 0 1 1 1 0 0 1 0 0 1 1 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0
 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FBD2120>;[0 0 0 ... 0 0 0];166.53999999999996
Oxytetracycline;CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O;Activo;-1.243599999999999;460.14818034799987;10;7;5;0;6;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FB59120>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
 1 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 0 0 1
 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 1 1 1 1 1 1 1 1 0
 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FBD24A0>;[0 0 0 ... 0 0 0];201.84999999999997
Nitric acid, calcium salt (2:1);[Ca++].[O-][N+]([O-])=O.[O-][N+]([O-])=O;Inactivo;-0.8590000000000002;163.93822670000003;6;0;2;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FB599E0>;"[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0
 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FBD2D60>;[0 0 0 ... 0 0 0];132.4
Sucralose;OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl;Inactivo;-1.6561000000000003;396.014550608;8;5;0;0;5;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FB59B30>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1 0
 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 1 1 0 1 0 0 1 1 1 1 0 0 1 0 0 1 0
 0 0 1 0 1 1 0 1 0 1 0 1 0 0 0 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FBD2EB0>;[1 0 0 ... 0 0 0];128.84
UK-333747;COCC1=NN=C(N1C1=C(Cl)C(Cl)=CC2=C1NC(=O)C(=O)N2)C1=C[N+]([O-])=CC=C1;Inactivo;1.5507;434.029708224;7;2;2;0;0;0;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FB5A510>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0
 0 1 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 0 1 0 1 1
 1 0 1 0 1 0 1 0 0 1 1 1 0 1 1 1 1 0 0 1 1 0 1 1 1 1 1 0 0 1 0 1 1 1 1 1 0
 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FBD3890>;[0 0 0 ... 0 0 0];132.6
PharmaGSID_48172;OC(=O)\C=C\C(O)=O.O=C1N(CCC2=NOC(=N2)C2=CC=C(CN3CCCCCC3)S2)C(=O)C2=C1C=CC=C2;Inactivo;3.7246000000000024;552.1678702359999;9;2;5;0;2;2;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FB5ABA0>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0
 0 1 0 1 0 1 1 1 0 1 0 1 1 0 1 1 0 0 1 0 1 1 1 1 0 1 1 1 1 0 0 1 0 0 0 0 1
 1 0 0 0 0 0 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 1 1 1 1 1 0 1 1 1 0 1 1
 1 0 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FBD3F20>;[0 0 1 ... 0 0 0];154.14
YM 218;OC(=O)\C=C\C(O)=O.CC1=C(C=CO1)C(=O)NC1=CC=C(C=C1)C(=O)N1CCC(F)(F)\C(=C/C(=O)N2CCC(CC2)N2CCCCC2)C2=C1C=CC=C2.CC1=C(C=CO1)C(=O)NC1=CC=C(C=C1)C(=O)N1CCC(F)(F)\C(=C/C(=O)N2CCC(CC2)N2CCCCC2)C2=C1C=CC=C2;Inactivo;12.484639999999985;1348.5831828799999;12;4;11;0;2;2;<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FB5AC80>;"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 1 0 0 0 1 0 0 1 0 1 1 1 0 1 0 0 1 0 0 0 1 1 1 1 1 1 0 0 0 1 0 1 0 0 1
 1 1 0 0 0 0 1 1 0 1 1 1 1 0 1 0 0 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1
 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1]";<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001DC0FBD4040>;[0 0 1 ... 0 0 0];246.80000000000004
