DTXSID;Clasificacion_ATS;Masa_Molecular;Numero_Atomos_Pesados;H_Bond_Acceptors;H_Bond_Donors;Enlaces_Dobles;Enlaces_Triples;Carboxilo;Hidroxilo;LogP;SMILES
DTXSID0034930;Inactivo;283.04657206599995;16.0;5.0;0.0;2.0;0.0;0.0;0.0;3.831500000000003;CCOP(=O)(SC(C)CC)N1CCSC1=O
DTXSID0037495;Inactivo;173.04682293599998;11.0;5.0;2.0;0.0;0.0;0.0;0.0;0.5389999999999999;CCNC1=NC(N)=NC(Cl)=N1
DTXSID00379268;Inactivo;242.01777694;15.0;1.0;1.0;1.0;0.0;0.0;0.0;2.684100000000001;OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F
DTXSID00379884;Inactivo;326.0164752;20.0;1.0;0.0;0.0;0.0;0.0;0.0;3.878800000000001;FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)CC1CO1
DTXSID00379925;Activo;481.93662204;28.0;1.0;0.0;1.0;0.0;0.0;0.0;5.761200000000002;FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)=O
DTXSID00380798;Activo;410.0023619319999;25.0;5.0;2.0;0.0;0.0;0.0;0.0;2.577600000000001;OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)CO
DTXSID0038839;Inactivo;163.0381764;12.0;4.0;1.0;1.0;1.0;0.0;0.0;1.04868;NC1=C(C=C(C=C1)[N+]([O-])=O)C#N
DTXSID0038887;Inactivo;332.068473484;25.0;5.0;2.0;1.0;0.0;0.0;0.0;3.6658000000000017;OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1
DTXSID0039223;Inactivo;190.077598688;12.0;4.0;1.0;2.0;0.0;0.0;0.0;1.4698;CNC(=O)ON=CC(C)(C)SC
DTXSID0040127;Inactivo;109.063997224;8.0;3.0;2.0;0.0;0.0;0.0;0.0;0.24599999999999989;NC1=CC=CC(N)=N1
