INPUT;FOUND_BY;DTXSID;PREFERRED_NAME;VERIFICACION ;SMILES;MOLECULAR_FORMULA;AVERAGE_MASS;iupac_name;iupac_name_SMILES;Validación IUPAC;verificación manual;PREFERRED NAME;CASRN;MOLECULAR FORMULA;MONOISOTOPIC MASS;ToxCast Active;ToxCast Total;% ToxCast Active;HIT CALL;ATS;Clasificacion_ATS
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Active;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00190950;;;;;;;;;;6:1 Fluorotelomer alcohol;375-82-6;C7H3F13O;349.997631;52;461;11;Inactive;0.36;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Active;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Active;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Active;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Active;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Active;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Active;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00192353;;;;;;;;;;8:2 Fluorotelomer sulfonic acid;39108-34-4;C10H5F17O3S;527.968794;40;506;8;Inactive;0.24;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Active;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Inactive;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Active;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Active;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Active;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Active;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Active;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Inactive;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Inactive;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Active;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Inactive;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Inactive;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Inactive;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Active;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Inactive;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Inactive;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Inactive;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Inactive;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Active;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Inactive;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Inactive;0.36;Activo
;;DTXSID00194615;;;;;;;;;;1H,1H,9H-Perfluorononyl acrylate;4180-26-1;C12H6F16O2;486.01123;72;464;16;Inactive;0.36;Activo
