INPUT;FOUND_BY;DTXSID;PREFERRED_NAME;VERIFICACION ;SMILES;MOLECULAR_FORMULA;AVERAGE_MASS;iupac_name;iupac_name_SMILES;Validación IUPAC;verificación manual
((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane;Approved Name;DTXSID70880230;((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane;0;FC(F)C(F)(F)COCC1CO1;C6H8F4O2;188.122;2-(2,2,3,3-tetrafluoropropoxymethyl)oxirane;2-(2,2,3,3-tetrafluoropropoxymethyl)oxirane;0;NO
((Perfluorooctyl)ethyl)phosphonic acid;Approved Name;DTXSID30627108;((Perfluorooctyl)ethyl)phosphonic acid;0;OP(O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;C10H6F17O3P;528.102;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecylphosphonic acid;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecylphosphonic acid;0;NO
(-)-Ambroxide;Approved Name;DTXSID0047113;(-)-Ambroxide;0;C[C@@]12CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]1CCO2;C16H28O;236.399;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;(3aR,5aS,9aS,9bR)-3a,6,6,9a-tetramethyl-2,4,5,5a,7,8,9,9b-octahydro-1H-benzo[e][1]benzofuran;0;NO
(-)-Isolongifolene;Approved Name;DTXSID1044518;(-)-Isolongifolene;0;CC1(C)[C@H]2CC[C@]3(C2)C1=CCCC3(C)C;C15H24;204.357;(1R,8S)-2,2,7,7-tetramethyltricyclo[6.2.1.01,6]undec-5-ene;(1R,8S)-2,2,7,7-tetramethyltricyclo[6.2.1.01,6]undec-5-ene;0;NO
(-)-Nicotine;Approved Name;DTXSID1020930;(-)-Nicotine;0;CN1CCC[C@H]1C1=CN=CC=C1;C10H14N2;162.236;3-[(2S)-1-methylpyrrolidin-2-yl]pyridine;3-[(2S)-1-methylpyrrolidin-2-yl]pyridine;0;NO
(-)-Phenylephrine hydrochloride;Approved Name;DTXSID3021142;(-)-Phenylephrine hydrochloride;0;Cl.CNC[C@H](O)C1=CC(O)=CC=C1;C9H14ClNO2;203.67;"3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol;hydrochloride";"3-[(1R)-1-hydroxy-2-(methylamino)ethyl]phenol;hydrochloride";0;NO
(+/-)-2-(4-Chloro-2-methylphenoxy)propionic acid;Approved Name - WARNING: Synonym mapped to two or more chemicals;DTXSID9024194;(+/-)-2-(4-Chloro-2-methylphenoxy)propionic acid;0;CC(OC1=C(C)C=C(Cl)C=C1)C(O)=O;C10H11ClO3;214.65;2-(4-chloro-2-methylphenoxy)propanoic acid;2-(4-chloro-2-methylphenoxy)propanoic acid;0;NO
(2E)-3,7-Dimethyl-2,6-octadien-1-ol;Approved Name;DTXSID8026727;(2E)-3,7-Dimethyl-2,6-octadien-1-ol;0;CC(C)=CCC\C(C)=C\CO;C10H18O;154.253;(2E)-3,7-dimethylocta-2,6-dien-1-ol;(2E)-3,7-dimethylocta-2,6-dien-1-ol;0;NO
(2S,3S)-3-Methyl-2-(3-oxo-1,2-benzothiazol-2(3H)-yl)pentanoic acid;Approved Name;DTXSID3047261;(2S,3S)-3-Methyl-2-(3-oxo-1,2-benzothiazol-2(3H)-yl)pentanoic acid;0;CC[C@H](C)[C@H](N1SC2=CC=CC=C2C1=O)C(O)=O;C13H15NO3S;265.33;(2S,3S)-3-methyl-2-(3-oxo-1,2-benzothiazol-2-yl)pentanoic acid;(2S,3S)-3-methyl-2-(3-oxo-1,2-benzothiazol-2-yl)pentanoic acid;0;NO
(3-Isocyanatopropyl)triethoxysilane;Approved Name;DTXSID4038847;(3-Isocyanatopropyl)triethoxysilane;0;CCO[Si](CCCN=C=O)(OCC)OCC;C10H21NO4Si;247.366;triethoxy(3-isocyanatopropyl)silane;triethoxy(3-isocyanatopropyl)silane;0;NO
(3Z)-Hex-3-en-1-yl salicylate;Approved Name;DTXSID8037750;(3Z)-Hex-3-en-1-yl salicylate;0;CC\C=C/CCOC(=O)C1=C(O)C=CC=C1;C13H16O3;220.268;[(Z)-hex-3-enyl] 2-hydroxybenzoate;[(Z)-hex-3-enyl] 2-hydroxybenzoate;0;NO
(4-Methoxyphenyl)methanol;Approved Name;DTXSID6044357;(4-Methoxyphenyl)methanol;0;COC1=CC=C(CO)C=C1;C8H10O2;138.166;(4-methoxyphenyl)methanol;(4-methoxyphenyl)methanol;0;NO
(7S)-Hydroprene;Approved Name;DTXSID6035784;(7S)-Hydroprene;0;CCOC(=O)\C=C(/C)\C=C\C[C@@H](C)CCCC(C)C;C17H30O2;266.425;ethyl (2E,4E,7S)-3,7,11-trimethyldodeca-2,4-dienoate;ethyl (2E,4E,7S)-3,7,11-trimethyldodeca-2,4-dienoate;0;NO
(E)-Anethole;Approved Name;DTXSID9020087;(E)-Anethole;0;COC1=CC=C(\C=C\C)C=C1;C10H12O;148.205;1-methoxy-4-[(E)-prop-1-enyl]benzene;1-methoxy-4-[(E)-prop-1-enyl]benzene;0;NO
(E,E)-2,4-Decadienal;Approved Name;DTXSID6024911;(E,E)-2,4-Decadienal;0;CCCCC\C=C\C=C\C=O;C10H16O;152.237;(2E,4E)-deca-2,4-dienal;(2E,4E)-deca-2,4-dienal;0;NO
(E,Z)-Tetradeca-9,12-dienyl acetate;Approved Name;DTXSID6035285;(E,Z)-Tetradeca-9,12-dienyl acetate;0;C\C=C/C\C=C\CCCCCCCCOC(C)=O;C16H28O2;252.398;[(9E,12Z)-tetradeca-9,12-dienyl] acetate;[(9E,12Z)-tetradeca-9,12-dienyl] acetate;0;NO
(Heptafluorobutanoyl)pivaloylmethane;Approved Name;DTXSID3066215;(Heptafluorobutanoyl)pivaloylmethane;0;CC(C)(C)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F;C10H11F7O2;296.185;6,6,7,7,8,8,8-heptafluoro-2,2-dimethyloctane-3,5-dione;6,6,7,7,8,8,8-heptafluoro-2,2-dimethyloctane-3,5-dione;0;NO
(Heptafluoropropyl)trimethylsilane;Approved Name;DTXSID70400078;(Heptafluoropropyl)trimethylsilane;0;C[Si](C)(C)C(F)(F)C(F)(F)C(F)(F)F;C6H9F7Si;242.212;1,1,2,2,3,3,3-heptafluoropropyl(trimethyl)silane;1,1,2,2,3,3,3-heptafluoropropyl(trimethyl)silane;0;NO
(Perfluoro-5-methylhexyl)ethyl 2-methylprop-2-enoate;Approved Name;DTXSID60379901;(Perfluoro-5-methylhexyl)ethyl 2-methylprop-2-enoate;0;CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F;C13H9F15O2;482.189;[3,3,4,4,5,5,6,6,7,8,8,8-dodecafluoro-7-(trifluoromethyl)octyl] 2-methylprop-2-enoate;[3,3,4,4,5,5,6,6,7,8,8,8-dodecafluoro-7-(trifluoromethyl)octyl] 2-methylprop-2-enoate;0;NO
(Perfluorobutyryl)-2-thenoylmethane;Approved Name;DTXSID7060332;(Perfluorobutyryl)-2-thenoylmethane;0;FC(F)(F)C(F)(F)C(F)(F)C(=O)CC(=O)C1=CC=CS1;C10H5F7O2S;322.2;4,4,5,5,6,6,6-heptafluoro-1-thiophen-2-ylhexane-1,3-dione;4,4,5,5,6,6,6-heptafluoro-1-thiophen-2-ylhexane-1,3-dione;0;NO
(R)-N-(Quinuclidin-3-yl)furo(2,3-C)pyridine-5-carboxamide;Approved Name;DTXSID6047284;(R)-N-(Quinuclidin-3-yl)furo(2,3-C)pyridine-5-carboxamide;0;O=C(N[C@H]1CN2CCC1CC2)C1=CC2=C(OC=C2)C=N1;C15H17N3O2;271.32;N-[(3R)-1-azabicyclo[2.2.2]octan-3-yl]furo[2,3-c]pyridine-5-carboxamide;N-[(3R)-1-azabicyclo[2.2.2]octan-3-yl]furo[2,3-c]pyridine-5-carboxamide;0;NO
(S)-1-Anilino-4-methyl-2-methylthio-4-phenylimidazolin-5-one;Approved Name;DTXSID2034590;(S)-1-Anilino-4-methyl-2-methylthio-4-phenylimidazolin-5-one;0;CSC1=N[C@](C)(C(=O)N1NC1=CC=CC=C1)C1=CC=CC=C1;C17H17N3OS;311.4;(5S)-3-anilino-5-methyl-2-methylsulfanyl-5-phenylimidazol-4-one;(5S)-3-anilino-5-methyl-2-methylsulfanyl-5-phenylimidazol-4-one;0;NO
(Z)-Nerol;Approved Name;DTXSID3026728;(Z)-Nerol;0;CC(C)=CCC\C(C)=C/CO;C10H18O;154.253;(2Z)-3,7-dimethylocta-2,6-dien-1-ol;(2Z)-3,7-dimethylocta-2,6-dien-1-ol;0;NO
[4-Chloro-6-(2,3-xylidino)-2-pyrimidinylthio]acetic acid;Approved Name;DTXSID4020290;[4-Chloro-6-(2,3-xylidino)-2-pyrimidinylthio]acetic acid;0;CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1;C14H14ClN3O2S;323.8;2-[4-chloro-6-(2,3-dimethylanilino)pyrimidin-2-yl]sulfanylacetic acid;2-[4-chloro-6-(2,3-dimethylanilino)pyrimidin-2-yl]sulfanylacetic acid;0;NO
1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide;Approved Name;DTXSID7041097;1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide;0;CCC(C)N(C)C(=O)C1=CC2=C(C=CC=C2)C(=N1)C1=CC=CC=C1Cl;C21H21ClN2O;352.86;N-butan-2-yl-1-(2-chlorophenyl)-N-methylisoquinoline-3-carboxamide;N-butan-2-yl-1-(2-chlorophenyl)-N-methylisoquinoline-3-carboxamide;0;NO
1-(2-Hydroxyethyl)pyrrolidin-2-one;Approved Name;DTXSID7044922;1-(2-Hydroxyethyl)pyrrolidin-2-one;0;OCCN1CCCC1=O;C6H11NO2;129.159;1-(2-hydroxyethyl)pyrrolidin-2-one;1-(2-hydroxyethyl)pyrrolidin-2-one;0;NO
1-(Hydroxymethyl)-5,5-dimethylhydantoin;Approved Name;DTXSID6035152;1-(Hydroxymethyl)-5,5-dimethylhydantoin;0;CC1(C)N(CO)C(=O)NC1=O;C6H10N2O3;158.157;1-(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione;1-(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione;0;NO
